"id"	"space"	"start"	"end"	"wilcoxon.p.value"	"hyper?"	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos"	"dir"	"dist"	"overlapped.TSS"	"overlapped.pos"	"ovrl.dir"
"23.chr1.2232310"	"chr1"	2232311	2232617	3.16778322047639e-07	TRUE	3.20634285266577e-06	3	0.111111111111111	25.0407956616755	4.66060046742043	262.891138275285	"p36.33"	FALSE	"LOC100129534"	2284100	"-"	51482	NA	NA	NA
"205.chr1.18956895"	"chr1"	18956896	18959829	1.59722716158885e-06	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p36.13"	FALSE	"PAX7"	18957500	"+"	0	"PAX7"	"18957500"	"+"
"75.chr1.32237827"	"chr1"	32237828	32238661	5.95856261328925e-08	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p35.2"	FALSE	"BAI2"	32229648	"-"	-8179	NA	NA	NA
"243.chr1.44871109"	"chr1"	44871110	44874047	5.19952989196264e-08	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p34.1"	FALSE	"RNF220"	44870960	"+"	149	"RNF220"	"44870960"	"+"
"175.chr1.46954793"	"chr1"	46954794	46957121	6.47142211496392e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p33"	FALSE	"DMBX1"	46972668	"+"	-15546	NA	NA	NA
"129.chr1.47696504"	"chr1"	47696505	47698197	1.12174132530654e-05	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"p33"	FALSE	"TAL1"	47697892	"-"	0	"TAL1"	"47697892"	"-"
"20.chr1.47899125"	"chr1"	47899126	47899398	1.67082426172136e-08	TRUE	0.000219506579794923	17	1	15.9411082147589	2.77683686377378	172.893971451677	"p33"	FALSE	"FOXD2-AS1"	47900313	"-"	914	"FOXD2,FOXD2-AS1"	"47901689,47900313"	"+,-"
"110.chr1.47909712"	"chr1"	47909713	47911020	1.29417572323999e-09	TRUE	1.05141018406727e-08	11	0.176470588235294	53.8920035345838	9.33060452931043	483.771725277404	"p33"	FALSE	"FOXD2"	47901689	"+"	8023	NA	NA	NA
"71.chr1.50513644"	"chr1"	50513645	50514320	1.01579992815092e-07	TRUE	2.7365982125863e-06	2.27272727272727	0.0526315789473684	40.1378416907415	5.18357947503321	1842.82928293285	"p33"	FALSE	"ELAVL4"	50513686	"+"	0	"ELAVL4"	"50513686"	"+"
"43.chr1.50880916"	"chr1"	50880917	50881516	2.97814156053645e-08	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	7602	NA	NA	NA
"21.chr1.50881884"	"chr1"	50881885	50882103	3.04070015214816e-06	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	7015	NA	NA	NA
"36.chr1.50882997"	"chr1"	50882998	50883426	1.78159704899396e-06	TRUE	6.76286695633029e-11	6.2	0	Inf	20.0253713604435	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	5692	"DMRTA2"	"50889119"	"-"
